,Model_Name,Price,CC,Mileage,Weight
966,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
967,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
968,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
969,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
970,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
971,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
972,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
973,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
974,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
975,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
976,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
977,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
978,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
979,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
980,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
981,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
982,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
983,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
984,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
985,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
986,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
987,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
988,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
989,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
990,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
991,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
992,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
993,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
994,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
995,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
996,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
997,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
998,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
999,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1000,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1001,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1002,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1003,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1004,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1005,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1006,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1007,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1008,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1009,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1010,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1011,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1012,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1013,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1014,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1015,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1016,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1017,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1018,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1019,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1020,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1021,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1022,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1023,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1024,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1025,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1026,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1027,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1028,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1029,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1030,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1031,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1032,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1033,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1034,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1035,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1036,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1037,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1038,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1039,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1040,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1041,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1042,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1043,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1044,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1045,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1046,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1047,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1048,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1049,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1050,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1051,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1052,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1053,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1054,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1055,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1056,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1057,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1058,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1059,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1060,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1061,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1062,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1063,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1064,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1065,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1066,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1067,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1068,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1069,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1070,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1071,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1072,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1073,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1074,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1075,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1076,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1077,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1078,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1079,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1080,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1081,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1082,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1083,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1084,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1085,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1086,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1087,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1088,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1089,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1090,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1091,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1092,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1093,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1094,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1095,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1096,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1097,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1098,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1099,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1100,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1101,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1102,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1103,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1104,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1105,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1106,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1107,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1108,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1109,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1110,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1111,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1112,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1113,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1114,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1115,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1116,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1117,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1118,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1119,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1120,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1121,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1122,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1123,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1124,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1125,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1126,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1127,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1128,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1129,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1130,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1131,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1132,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1133,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1134,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1135,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1136,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1137,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1138,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1139,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1140,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1141,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1142,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1143,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1144,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1145,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1146,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1147,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1148,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1149,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1150,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1151,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1152,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1153,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1154,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1155,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1156,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1157,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1158,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1159,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1160,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1161,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1162,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1163,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1164,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1165,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1166,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1167,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1168,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1169,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1170,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1171,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1172,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1173,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1174,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1175,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1176,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1177,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1178,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1179,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1180,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1181,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1182,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1183,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1184,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1185,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1186,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1187,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1188,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1189,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1190,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1191,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1192,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1193,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1194,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1195,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1196,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1197,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1198,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1199,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1200,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1201,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1202,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1203,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1204,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1205,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1206,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1207,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1208,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1209,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1210,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1211,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1212,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1213,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1214,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1215,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1216,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1217,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1218,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1219,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1220,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1221,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1222,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1223,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1224,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1225,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1226,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1227,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1228,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1229,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1230,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1231,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1232,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1233,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1234,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1235,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1236,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1237,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1238,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1239,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1240,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1241,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1242,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1243,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1244,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1245,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1246,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1247,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1248,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1249,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1250,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1251,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1252,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1253,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1254,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1255,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1256,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1257,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1258,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1259,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1260,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1261,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1262,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1263,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1264,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1265,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1266,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1267,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1268,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1269,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1270,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1271,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1272,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1273,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1274,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1275,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1276,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1277,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1278,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1279,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1280,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1281,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1282,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1283,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1284,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1285,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1286,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1287,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1288,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1289,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1290,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1291,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1292,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1293,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1294,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1295,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1296,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1297,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1298,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1299,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1300,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1301,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1302,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1303,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1304,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1305,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1306,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1307,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1308,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1309,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1310,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1311,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1312,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1313,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1314,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1315,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1316,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1317,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1318,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1319,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1320,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1321,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1322,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1323,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1324,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1325,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1326,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1327,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1328,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1329,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
1330,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
1331,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
1332,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
1333,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
1334,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
1335,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
1336,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
1337,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
1338,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
1339,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
1340,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
1341,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
